zip,county_name
43001,Licking
43002,Franklin
43003,Morrow
43004,Franklin
43005,Knox
43006,Coshocton
43007,Union
43008,Licking
43009,Champaign
43010,Clark
43011,Knox
43013,Licking
43014,Knox
43015,Delaware
43016,Franklin
43017,Franklin
43018,Licking
43019,Knox
43021,Delaware
43022,Knox
43023,Licking
43025,Licking
43026,Franklin
43027,Licking
43028,Knox
43029,Madison
43030,Licking
43031,Licking
43032,Delaware
43033,Licking
43035,Delaware
43036,Union
43037,Knox
43040,Union
43041,Union
43044,Champaign
43045,Union
43046,Fairfield
43047,Champaign
43048,Knox
43050,Knox
43054,Franklin
43055,Licking
43056,Licking
43058,Licking
43060,Champaign
43061,Delaware
43062,Licking
43064,Madison
43065,Delaware
43066,Delaware
43067,Union
43068,Franklin
43069,Franklin
43070,Champaign
43071,Louisville
43072,Licking
43073,Licking
43074,Delaware
43076,Perry
43077,Union
43078,Champaign
43080,Licking
43081,Franklin
43082,Delaware
43083,Champaign
43084,Champaign
43085,Franklin
43086,Delaware
43093,Licking
43101,Ross
43102,Fairfield
43103,Pickaway
43105,Fairfield
43106,Fayette
43107,Fairfield
43109,Franklin
43110,Franklin
43111,Hocking
43112,Fairfield
43113,Pickaway
43115,Ross
43116,Pickaway
43117,Pickaway
43119,Franklin
43123,Franklin
43125,Franklin
43126,Franklin
43127,Hocking
43128,Fayette
43130,Fairfield
43135,Hocking
43136,Fairfield
43137,Franklin
43138,Hocking
43140,Madison
43142,Fayette
43143,Madison
43144,Hocking
43145,Pickaway
43146,Pickaway
43147,Fairfield
43148,Fairfield
43149,Hocking
43150,Fairfield
43151,Madison
43152,Hocking
43153,Madison
43154,Fairfield
43155,Fairfield
43156,Pickaway
43157,Fairfield
43158,Hocking
43160,Fayette
43162,Madison
43164,Pickaway
43194,Franklin
43195,Franklin
43199,Franklin
43201,Franklin
43202,Franklin
43203,Franklin
43204,Franklin
43205,Franklin
43206,Franklin
43207,Franklin
43209,Franklin
43210,Franklin
43211,Franklin
43212,Franklin
43213,Franklin
43214,Franklin
43215,Franklin
43216,Franklin
43217,Franklin
43218,Franklin
43219,Franklin
43220,Franklin
43221,Franklin
43222,Franklin
43223,Franklin
43224,Franklin
43226,Franklin
43227,Franklin
43228,Franklin
43229,Franklin
43230,Franklin
43231,Franklin
43232,Franklin
43234,Franklin
43235,Franklin
43236,Franklin
43240,Delaware
43251,Franklin
43260,Franklin
43266,Franklin
43268,Franklin
43270,Franklin
43271,Franklin
43272,Franklin
43279,Franklin
43287,Franklin
43291,Franklin
43301,Marion
43302,Marion
43310,Logan
43311,Logan
43314,Marion
43315,Morrow
43316,Wyandot
43317,Morrow
43318,Logan
43319,Logan
43320,Morrow
43321,Morrow
43322,Marion
43323,Wyandot
43324,Logan
43325,Morrow
43326,Hardin
43330,Wyandot
43331,Logan
43332,Marion
43333,Logan
43334,Morrow
43335,Marion
43336,Logan
43337,Marion
43338,Morrow
43340,Hardin
43341,Marion
43342,Marion
43343,Logan
43344,Union
43345,Hardin
43346,Hardin
43347,Logan
43348,Logan
43349,Morrow
43350,Morrow
43351,Wyandot
43356,Marion
43357,Logan
43358,Logan
43359,Wyandot
43360,Logan
43402,Wood
43403,Wood
43406,Wood
43407,Sandusky
43408,Ottawa
43410,Sandusky
43412,Lucas
43413,Wood
43414,Wood
43416,Ottawa
43420,Sandusky
43430,Ottawa
43431,Sandusky
43432,Ottawa
43433,Ottawa
43434,Lucas
43435,Sandusky
43436,Ottawa
43437,Wood
43438,Erie
43439,Ottawa
43440,Ottawa
43441,Wood
43442,Sandusky
43443,Wood
43445,Ottawa
43446,Ottawa
43447,Wood
43449,Ottawa
43450,Wood
43451,Wood
43452,Ottawa
43456,Ottawa
43457,Wood
43458,Ottawa
43460,Wood
43462,Wood
43463,Wood
43464,Sandusky
43465,Wood
43466,Wood
43467,Wood
43468,Ottawa
43469,Sandusky
43501,Williams
43502,Fulton
43504,Lucas
43505,Williams
43506,Williams
43510,Henry
43511,Wood
43512,Defiance
43515,Fulton
43516,Henry
43517,Williams
43518,Williams
43519,Defiance
43520,Defiance
43521,Fulton
43522,Wood
43523,Henry
43524,Henry
43525,Wood
43526,Defiance
43527,Henry
43528,Lucas
43529,Wood
43530,Defiance
43531,Williams
43532,Henry
43533,Fulton
43534,Henry
43535,Henry
43536,Defiance
43537,Lucas
43540,Fulton
43541,Wood
43542,Lucas
43543,Williams
43545,Henry
43547,Lucas
43548,Henry
43549,Defiance
43550,Henry
43551,Wood
43552,Wood
43553,Fulton
43554,Williams
43555,Henry
43556,Defiance
43557,Williams
43558,Lucas
43560,Lucas
43565,Wood
43566,Lucas
43567,Fulton
43569,Wood
43570,Williams
